depth,heuristic,found,solution_cost,nodes_expanded,nodes_generated,runtime_seconds,effective_branching_factor
4,h2,True,4,4,10,1.7042038962244987e-05,1.3523950218323741
4,h2,True,4,4,10,1.695798709988594e-05,1.3523950218323741
4,h2,True,4,4,8,1.4041084796190262e-05,1.2369101206660766
4,h2,True,4,4,10,1.6792211681604385e-05,1.3523950218323741
4,h2,True,4,4,10,1.712515950202942e-05,1.3523950218323741
4,h2,True,4,4,10,1.6999896615743637e-05,1.3523950218323741
4,h2,True,4,4,8,1.395796425640583e-05,1.2369101206660766
4,h2,True,4,4,10,1.6958918422460556e-05,1.3523950218323741
4,h2,True,4,4,10,1.695798709988594e-05,1.3523950218323741
4,h2,True,4,4,10,1.687486656010151e-05,1.3523950218323741
4,h2,True,4,4,10,1.6709091141819954e-05,1.3523950218323741
4,h2,True,4,4,10,1.6875099390745163e-05,1.3523950218323741
4,h2,True,4,4,10,1.6875099390745163e-05,1.3523950218323741
4,h2,True,4,4,10,1.700012944638729e-05,1.3523950218323741
4,h2,True,4,4,8,1.391698606312275e-05,1.2369101206660766
4,h2,True,4,4,10,1.6750069335103035e-05,1.3523950218323741
4,h2,True,4,4,10,1.6750069335103035e-05,1.3523950218323741
4,h2,True,4,4,10,1.6791047528386116e-05,1.3523950218323741
4,h2,True,4,4,10,1.7041107639670372e-05,1.3523950218323741
4,h2,True,4,4,10,1.6832957044243813e-05,1.3523950218323741
4,h2,True,4,4,8,1.39591284096241e-05,1.2369101206660766
4,h2,True,4,4,10,1.6832957044243813e-05,1.3523950218323741
4,h2,True,4,4,8,1.3875076547265053e-05,1.2369101206660766
4,h2,True,4,4,10,1.679197885096073e-05,1.3523950218323741
4,h2,True,4,4,10,1.691700890660286e-05,1.3523950218323741
4,h2,True,4,4,10,1.6750069335103035e-05,1.3523950218323741
4,h2,True,4,4,10,1.679197885096073e-05,1.3523950218323741
4,h2,True,4,4,10,1.691700890660286e-05,1.3523950218323741
4,h2,True,4,4,10,1.679197885096073e-05,1.3523950218323741
4,h2,True,4,4,10,1.691700890660286e-05,1.3523950218323741
4,h2,True,4,4,10,1.7042038962244987e-05,1.3523950218323741
4,h2,True,4,4,8,1.3833865523338318e-05,1.2369101206660766
4,h2,True,4,4,10,1.6750069335103035e-05,1.3523950218323741
4,h2,True,4,4,10,1.6875099390745163e-05,1.3523950218323741
